Tweb         Tcore final  
20           36.5106      
20.02        36.5107      
20.04        36.5107      
20.06        36.5107      
20.08        36.5108      
20.1         36.5108      
20.12        36.5108      
20.14        36.5109      
20.16        36.5109      
20.18        36.5109      
20.2         36.511       
20.22        36.511       
20.24        36.511       
20.26        36.5111      
20.28        36.5111      
20.3         36.5111      
20.32        36.5112      
20.34        36.5112      
20.36        36.5112      
20.38        36.5113      
20.4         36.5113      
20.42        36.5113      
20.44        36.5114      
20.46        36.5114      
20.48        36.5114      
20.5         36.5115      
20.52        36.5115      
20.54        36.5115      
20.56        36.5116      
20.58        36.5116      
20.6         36.5116      
20.62        36.5117      
20.64        36.5117      
20.66        36.5117      
20.68        36.5118      
20.7         36.5118      
20.72        36.5118      
20.74        36.5119      
20.76        36.5119      
20.78        36.5119      
20.8         36.512       
20.82        36.512       
20.84        36.512       
20.86        36.5121      
20.88        36.5121      
20.9         36.5121      
20.92        36.5122      
20.94        36.5122      
20.96        36.5122      
20.98        36.5123      
21           36.5123      
21.02        36.5123      
21.04        36.5124      
21.06        36.5124      
21.08        36.5124      
21.1         36.5125      
21.12        36.5125      
21.14        36.5125      
21.16        36.5126      
21.18        36.5126      
21.2         36.5126      
21.22        36.5127      
21.24        36.5127      
21.26        36.5127      
21.28        36.5128      
21.3         36.5128      
21.32        36.5128      
21.34        36.5129      
21.36        36.5129      
21.38        36.5129      
21.4         36.513       
21.42        36.513       
21.44        36.513       
21.46        36.5131      
21.48        36.5131      
21.5         36.5131      
21.52        36.5132      
21.54        36.5132      
21.56        36.5132      
21.58        36.5133      
21.6         36.5133      
21.62        36.5133      
21.64        36.5133      
21.66        36.5134      
21.68        36.5134      
21.7         36.5134      
21.72        36.5135      
21.74        36.5135      
21.76        36.5135      
21.78        36.5136      
21.8         36.5136      
21.82        36.5136      
21.84        36.5137      
21.86        36.5137      
21.88        36.5137      
21.9         36.5138      
21.92        36.5138      
21.94        36.5138      
21.96        36.5139      
21.98        36.5139      
22           36.5139      
22.02        36.514       
22.04        36.514       
22.06        36.514       
22.08        36.5141      
22.1         36.5141      
22.12        36.5141      
22.14        36.5142      
22.16        36.5142      
22.18        36.5142      
22.2         36.5142      
22.22        36.5143      
22.24        36.5143      
22.26        36.5143      
22.28        36.5144      
22.3         36.5144      
22.32        36.5144      
22.34        36.5145      
22.36        36.5145      
22.38        36.5145      
22.4         36.5146      
22.42        36.5146      
22.44        36.5146      
22.46        36.5147      
22.48        36.5147      
22.5         36.5147      
22.52        36.5147      
22.54        36.5148      
22.56        36.5148      
22.58        36.5148      
22.6         36.5149      
22.62        36.5149      
22.64        36.5149      
22.66        36.515       
