time(min)    Tc           Ts           
0            36.5         31.302       
1            36.5032      32.4465      
2            36.5059      33.4925      
3            36.5076      34.449       
4            36.5102      35.306       
5            36.5178      36.0337      
6            36.5335      36.6188      
7            36.5592      37.0574      
8            36.5971      37.3465      
9            36.6481      37.4926      
10           36.7108      37.524       
11           36.7808      37.4902      
12           36.853       37.4414      
13           36.9241      37.4077      
14           36.9929      37.3973      
15           37.0596      37.4062      
16           37.1245      37.4283      
17           37.1882      37.4588      
18           37.2509      37.4949      
19           37.3127      37.5346      
20           37.3737      37.5769      
21           37.4339      37.6211      
22           37.4934      37.6666      
23           37.5522      37.7132      
24           37.6104      37.7604      
25           37.6678      37.8082      
26           37.7247      37.8564      
27           37.7809      37.9047      
28           37.8364      37.9531      
29           37.8914      38.0015      
30           37.9457      38.0499      
31           37.9994      38.0982      
32           38.0525      38.1462      
33           38.1051      38.1941      
34           38.157       38.2417      
35           38.2084      38.289       
36           38.2592      38.3361      
37           38.3094      38.3828      
38           38.359       38.4291      
39           38.4081      38.4751      
40           38.4566      38.5207      
41           38.5046      38.566       
42           38.552       38.6109      
43           38.5989      38.6553      
44           38.6453      38.6994      
45           38.6911      38.743       
46           38.7364      38.7862      
47           38.7812      38.8291      
48           38.8254      38.8714      
49           38.8692      38.9134      
50           38.9124      38.955       
51           38.9552      38.9961      
52           38.9974      39.0368      
53           39.0392      39.0771      
54           39.0805      39.1169      
55           39.1212      39.1564      
56           39.1616      39.1954      
57           39.2014      39.234       
58           39.2408      39.2721      
59           39.2797      39.3099      
60           39.3181      39.3473      
61           39.3561      39.3842      
62           39.3937      39.4207      
63           39.4308      39.4568      
64           39.4674      39.4925      
65           39.5037      39.5278      
66           39.5395      39.5628      
67           39.5748      39.5973      
68           39.6098      39.6314      
69           39.6443      39.6651      
70           39.6784      39.6985      
71           39.7121      39.7314      
72           39.7454      39.764       
73           39.7784      39.7962      
74           39.8109      39.8281      
75           39.843       39.8595      
76           39.8747      39.8906      
77           39.9061      39.9213      
78           39.937       39.9517      
79           39.9676      39.9817      
80           39.9978      40.0114      
81           40.0277      40.0407      
82           40.0572      40.0696      
83           40.0863      40.0982      
84           40.1151      40.1265      
85           40.1435      40.1544      
86           40.1716      40.182       
87           40.1993      40.2093      
88           40.2267      40.2362      
89           40.2538      40.2628      
90           40.2805      40.2891      
91           40.3069      40.3151      
92           40.333       40.3408      
93           40.3587      40.3661      
94           40.3841      40.3912      
95           40.4093      40.4159      
96           40.4341      40.4404      
97           40.4586      40.4645      
98           40.4828      40.4884      
99           40.5067      40.5119      
100          40.5303      40.5352      
101          40.5536      40.5582      
102          40.5766      40.5809      
103          40.5994      40.6033      
104          40.6218      40.6254      
105          40.644       40.6473      
106          40.6659      40.6689      
107          40.6875      40.6903      
108          40.7088      40.7113      
109          40.7299      40.7321      
110          40.7508      40.7527      
111          40.7713      40.773       
112          40.7916      40.793       
113          40.8117      40.8128      
114          40.8315      40.8324      
115          40.851       40.8517      
116          40.8703      40.8708      
117          40.8894      40.8896      
118          40.9082      40.9082      
119          40.9268      40.9266      
120          40.9451      40.9447      
121          40.9633      40.9626      
122          40.9811      40.9803      
123          40.9988      40.9978      
124          41.0162      41.015       
125          41.0335      41.032       
126          41.0505      41.0488      
127          41.0673      41.0654      
128          41.0838      41.0818      
129          41.1002      41.098       
130          41.1163      41.114       
131          41.1323      41.1297      
132          41.148       41.1453      
133          41.1636      41.1607      
134          41.1789      41.1759      
135          41.1941      41.1909      
136          41.2091      41.2057      
137          41.2238      41.2203      
138          41.2384      41.2347      
139          41.2528      41.249       
140          41.267       41.263       
141          41.281       41.2769      
142          41.2949      41.2906      
143          41.3086      41.3042      
144          41.3221      41.3175      
145          41.3354      41.3307      
146          41.3485      41.3438      
147          41.3615      41.3566      
148          41.3744      41.3693      
149          41.387       41.3818      
150          41.3995      41.3942      
151          41.4118      41.4064      
152          41.424       41.4185      
153          41.436       41.4304      
154          41.4479      41.4421      
155          41.4596      41.4537      
156          41.4712      41.4652      
157          41.4826      41.4765      
158          41.4938      41.4876      
159          41.505       41.4987      
160          41.5159      41.5095      
161          41.5268      41.5203      
162          41.5375      41.5309      
163          41.548       41.5413      
164          41.5584      41.5516      
165          41.5687      41.5618      
166          41.5789      41.5719      
167          41.5889      41.5818      
168          41.5988      41.5916      
169          41.6086      41.6013      
170          41.6182      41.6108      
171          41.6277      41.6203      
172          41.6371      41.6296      
173          41.6464      41.6388      
174          41.6555      41.6478      
175          41.6645      41.6568      
176          41.6735      41.6656      
177          41.6822      41.6743      
178          41.6909      41.6829      
179          41.6995      41.6914      
180          41.708       41.6998      
181          41.7163      41.7081      
182          41.7245      41.7163      
183          41.7327      41.7243      
184          41.7407      41.7323      
185          41.7486      41.7401      
186          41.7564      41.7479      
187          41.7642      41.7555      
188          41.7718      41.7631      
189          41.7793      41.7705      
190          41.7867      41.7779      
191          41.794       41.7852      
192          41.8013      41.7923      
193          41.8084      41.7994      
194          41.8154      41.8064      
195          41.8224      41.8133      
196          41.8293      41.8201      
197          41.836       41.8268      
198          41.8427      41.8334      
199          41.8493      41.84        
200          41.8558      41.8464      
201          41.8622      41.8528      
202          41.8686      41.8591      
203          41.8748      41.8653      
204          41.881       41.8714      
205          41.8871      41.8774      
206          41.8931      41.8834      
207          41.899       41.8893      
208          41.9049      41.8951      
209          41.9107      41.9008      
210          41.9164      41.9065      
211          41.922       41.9121      
212          41.9276      41.9176      
213          41.933       41.923       
214          41.9385      41.9284      
215          41.9438      41.9337      
216          41.9491      41.9389      
217          41.9543      41.9441      
218          41.9594      41.9492      
219          41.9645      41.9542      
220          41.9695      41.9591      
221          41.9744      41.964       
222          41.9793      41.9689      
223          41.9841      41.9736      
224          41.9888      41.9783      
225          41.9935      41.983       
226          41.9981      41.9876      
